dataset,method,attack,corruption,participation,seed,acc_at_round10,acc_at_round25
cifar10,Median,label_flip,0.2,0.5,42,51.22,60.39
cifar10,Median,label_flip,0.3,0.1,7,24.94,23.73
cifar10,Median,label_flip,0.2,0.5,7,55.27,57.09
cifar10,Median,sign_flip,0.1,0.1,42,20.73,30.68
cifar10,Median,label_flip,0.3,0.5,42,35.43,52.67
cifar10,Median,sign_flip,0.1,0.1,7,24.01,14.80
cifar10,Median,label_flip,0.3,0.5,7,41.25,34.87
cifar10,Median,sign_flip,0.2,0.1,42,10.00,10.00
cifar10,Median,sign_flip,0.2,0.1,7,10.00,10.00
cifar10,Median,sign_flip,0.1,0.5,42,57.64,64.35
cifar10,Median,sign_flip,0.1,0.5,7,56.38,60.01
cifar10,Median,sign_flip,0.3,0.1,42,10.00,10.00
cifar10,Median,sign_flip,0.3,0.1,7,10.01,10.00
cifar10,Median,sign_flip,0.2,0.5,42,47.49,58.42
cifar10,Median,sign_flip,0.2,0.5,7,49.51,51.95
cifar10,Median,gaussian,0.1,0.1,42,30.09,36.82
cifar10,Median,sign_flip,0.3,0.5,42,30.02,46.08
cifar10,Median,gaussian,0.1,0.1,7,38.38,36.40
cifar10,Median,sign_flip,0.3,0.5,7,37.41,38.80
cifar10,Median,gaussian,0.2,0.1,42,20.92,23.73
cifar10,Median,gaussian,0.2,0.1,7,29.14,29.22
cifar10,Median,gaussian,0.1,0.5,42,60.22,65.79
cifar10,Median,gaussian,0.1,0.5,7,61.07,64.71
cifar10,Median,gaussian,0.3,0.1,42,12.72,20.87
cifar10,Median,gaussian,0.2,0.5,42,57.05,64.19
cifar10,Median,gaussian,0.3,0.1,7,21.78,25.51
cifar10,Median,gaussian,0.2,0.5,7,60.02,63.57
cifar10,Median,alie,0.1,0.1,42,39.56,39.12
cifar10,Median,gaussian,0.3,0.5,42,51.14,62.50
cifar10,Median,alie,0.1,0.1,7,42.60,41.55
cifar10,Median,gaussian,0.3,0.5,7,57.89,61.89
cifar10,Median,alie,0.2,0.1,42,38.88,40.99
cifar10,Median,alie,0.2,0.1,7,43.37,41.61
cifar10,Median,alie,0.1,0.5,42,60.77,66.36
cifar10,Median,alie,0.3,0.1,42,40.52,39.39
cifar10,Median,alie,0.1,0.5,7,62.35,66.06
cifar10,Median,alie,0.2,0.5,42,60.77,66.59
cifar10,Median,alie,0.3,0.1,7,45.78,36.99
cifar10,Median,alie,0.2,0.5,7,62.18,66.21
cifar10,Median,ipm,0.1,0.1,42,38.59,40.01
cifar10,Median,alie,0.3,0.5,42,60.44,66.48
cifar10,Median,ipm,0.1,0.1,7,44.84,39.74
cifar10,Median,alie,0.3,0.5,7,62.67,66.50
cifar10,Median,ipm,0.2,0.1,42,38.00,42.35
cifar10,Median,ipm,0.2,0.1,7,44.97,40.19
cifar10,Median,ipm,0.1,0.5,42,60.69,66.76
cifar10,Median,ipm,0.3,0.1,42,37.33,42.88
cifar10,Median,ipm,0.1,0.5,7,62.79,66.10
cifar10,Median,ipm,0.2,0.5,42,60.88,66.75
cifar10,Median,ipm,0.3,0.1,7,44.99,41.06
cifar10,Median,ipm,0.2,0.5,7,62.47,66.44
cifar10,Median,ipm,0.3,0.5,42,60.56,66.83
cifar10,Median,ipm,0.3,0.5,7,62.33,66.36
cifar100,Median,none,0.0,0.5,42,22.95,31.20
cifar100,Median,none,0.0,0.5,7,23.51,30.29
cifar100,Median,label_flip,0.2,0.5,42,16.18,25.70
cifar100,Median,label_flip,0.2,0.5,7,17.17,24.29
cifar100,Median,sign_flip,0.2,0.5,42,13.60,23.51
cifar10,Krum,none,0.0,0.1,42,45.41,51.31
cifar100,Median,sign_flip,0.2,0.5,7,12.61,20.87
cifar10,Krum,none,0.0,0.1,7,34.57,44.90
cifar100,Median,gaussian,0.2,0.5,42,19.60,28.62
cifar100,Median,gaussian,0.2,0.5,7,18.39,28.10
cifar10,Krum,none,0.0,0.5,42,34.80,39.60
cifar10,Krum,label_flip,0.1,0.1,42,42.15,51.65
cifar10,Krum,label_flip,0.1,0.1,7,36.04,40.91
cifar10,Krum,none,0.0,0.5,7,34.42,35.24
cifar10,Krum,label_flip,0.2,0.1,42,43.69,44.40
cifar10,Krum,label_flip,0.2,0.1,7,30.27,41.08
cifar10,Krum,label_flip,0.1,0.5,42,37.12,40.79
cifar10,Krum,label_flip,0.3,0.1,42,13.55,43.71
cifar10,Krum,label_flip,0.1,0.5,7,35.50,41.01
cifar10,Krum,label_flip,0.2,0.5,42,36.21,41.83
cifar10,Krum,label_flip,0.3,0.1,7,33.52,39.88
cifar10,Krum,label_flip,0.2,0.5,7,35.12,37.20
cifar10,Krum,sign_flip,0.1,0.1,42,38.89,46.50
cifar10,Krum,sign_flip,0.1,0.1,7,34.61,37.53
cifar10,Krum,label_flip,0.3,0.5,42,36.30,40.42
cifar10,Krum,label_flip,0.3,0.5,7,36.06,40.08
cifar10,Krum,sign_flip,0.2,0.1,42,34.67,16.05
cifar10,Krum,sign_flip,0.2,0.1,7,14.55,10.00
cifar10,Krum,sign_flip,0.1,0.5,42,36.86,40.44
cifar10,Krum,sign_flip,0.3,0.1,42,10.00,10.00
cifar10,Krum,sign_flip,0.1,0.5,7,35.97,41.00
cifar10,Krum,sign_flip,0.2,0.5,42,38.43,41.15
cifar10,Krum,sign_flip,0.3,0.1,7,10.82,10.00
cifar10,Krum,sign_flip,0.2,0.5,7,35.01,37.96
cifar10,Krum,gaussian,0.1,0.1,42,44.86,53.43
cifar10,Krum,sign_flip,0.3,0.5,42,32.52,40.72
cifar10,Krum,gaussian,0.1,0.1,7,37.19,46.91
cifar10,Krum,sign_flip,0.3,0.5,7,35.70,42.04
cifar10,Krum,gaussian,0.2,0.1,42,43.04,47.82
cifar10,Krum,gaussian,0.2,0.1,7,37.65,46.90
cifar10,Krum,gaussian,0.1,0.5,42,36.75,40.08
cifar10,Krum,gaussian,0.1,0.5,7,34.94,37.76
cifar10,Krum,gaussian,0.3,0.1,42,41.85,47.53
cifar10,Krum,gaussian,0.2,0.5,42,35.39,38.67
cifar10,Krum,gaussian,0.3,0.1,7,37.69,44.06
cifar10,Krum,gaussian,0.2,0.5,7,35.11,40.16
cifar10,Krum,alie,0.1,0.1,42,46.28,52.02
cifar10,Krum,alie,0.1,0.1,7,35.80,45.61
cifar10,Krum,gaussian,0.3,0.5,42,34.03,38.45
cifar10,Krum,gaussian,0.3,0.5,7,36.03,41.37
cifar10,Krum,alie,0.2,0.1,42,46.26,51.25
cifar10,Krum,alie,0.1,0.5,42,34.84,39.65
cifar10,Krum,alie,0.2,0.1,7,36.85,45.44
cifar10,Krum,alie,0.3,0.1,42,47.58,51.63
cifar10,Krum,alie,0.1,0.5,7,35.99,37.59
cifar10,Krum,alie,0.2,0.5,42,35.03,41.27
cifar10,Krum,alie,0.3,0.1,7,39.37,46.31
cifar10,Krum,alie,0.2,0.5,7,35.82,39.09
cifar10,Krum,ipm,0.1,0.1,42,47.53,50.09
cifar10,Krum,alie,0.3,0.5,42,35.13,40.43
cifar10,Krum,ipm,0.1,0.1,7,37.99,48.53
cifar10,Krum,alie,0.3,0.5,7,35.14,40.50
cifar10,Krum,ipm,0.2,0.1,42,47.37,52.70
cifar10,Krum,ipm,0.1,0.5,42,33.96,40.98
cifar10,Krum,ipm,0.2,0.1,7,38.11,48.04
cifar10,Krum,ipm,0.1,0.5,7,34.17,37.26
cifar10,Krum,ipm,0.3,0.1,42,49.04,51.07
cifar10,Krum,ipm,0.2,0.5,42,35.43,40.61
cifar10,Krum,ipm,0.3,0.1,7,36.43,46.69
cifar10,Krum,ipm,0.2,0.5,7,35.85,38.96
cifar10,Krum,ipm,0.3,0.5,42,36.88,40.48
cifar10,Krum,ipm,0.3,0.5,7,37.80,38.25
cifar100,Krum,none,0.0,0.5,42,14.04,13.78
cifar100,Krum,none,0.0,0.5,7,12.90,17.60
cifar100,Krum,label_flip,0.2,0.5,42,12.97,16.64
cifar100,Krum,label_flip,0.2,0.5,7,13.82,1.96
cifar100,Krum,sign_flip,0.2,0.5,42,15.09,16.51
cifar100,Krum,sign_flip,0.2,0.5,7,12.42,15.11
cifar10,Bulyan,none,0.0,0.1,42,53.74,64.31
cifar100,Krum,gaussian,0.2,0.5,42,13.04,17.00
cifar10,Bulyan,none,0.0,0.1,7,60.90,63.57
cifar100,Krum,gaussian,0.2,0.5,7,12.29,15.38
cifar10,Bulyan,none,0.0,0.5,42,65.44,69.40
cifar10,Bulyan,label_flip,0.1,0.1,42,33.16,62.99
cifar10,Bulyan,label_flip,0.1,0.1,7,59.71,46.75
cifar10,Bulyan,none,0.0,0.5,7,65.56,69.39
cifar10,Bulyan,label_flip,0.2,0.1,42,31.33,43.39
cifar10,Bulyan,label_flip,0.2,0.1,7,58.16,40.13
cifar10,Bulyan,label_flip,0.1,0.5,42,61.28,66.67
cifar10,Bulyan,label_flip,0.1,0.5,7,61.16,64.51
cifar10,Bulyan,label_flip,0.3,0.1,42,13.49,43.97
cifar10,Bulyan,label_flip,0.2,0.5,42,56.07,61.66
cifar10,Bulyan,label_flip,0.3,0.1,7,35.92,47.27
cifar10,Bulyan,label_flip,0.2,0.5,7,59.17,59.28
cifar10,Bulyan,sign_flip,0.1,0.1,42,46.04,60.66
cifar10,Bulyan,sign_flip,0.1,0.1,7,57.22,59.42
cifar10,Bulyan,label_flip,0.3,0.5,42,42.07,55.32
cifar10,Bulyan,label_flip,0.3,0.5,7,51.29,44.04
cifar10,Bulyan,sign_flip,0.2,0.1,42,42.59,48.95
cifar10,Bulyan,sign_flip,0.1,0.5,42,59.39,65.53
cifar10,Bulyan,sign_flip,0.2,0.1,7,50.56,54.88
cifar10,Bulyan,sign_flip,0.1,0.5,7,58.31,62.87
cifar10,Bulyan,sign_flip,0.3,0.1,42,10.00,10.00
cifar10,Bulyan,sign_flip,0.3,0.1,7,50.28,40.78
cifar10,Bulyan,sign_flip,0.2,0.5,42,49.87,60.24
cifar10,Bulyan,sign_flip,0.2,0.5,7,56.99,59.73
cifar10,Bulyan,gaussian,0.1,0.1,42,57.72,64.23
cifar10,Bulyan,sign_flip,0.3,0.5,42,36.85,51.45
cifar10,Bulyan,gaussian,0.1,0.1,7,60.12,62.52
cifar10,Bulyan,sign_flip,0.3,0.5,7,44.49,32.28
cifar10,Bulyan,gaussian,0.2,0.1,42,56.54,64.13
cifar10,Bulyan,gaussian,0.1,0.5,42,61.97,66.33
cifar10,Bulyan,gaussian,0.2,0.1,7,57.24,61.26
cifar10,Bulyan,gaussian,0.1,0.5,7,62.06,66.52
cifar10,Bulyan,gaussian,0.3,0.1,42,54.83,64.04
cifar10,Bulyan,gaussian,0.2,0.5,42,56.03,62.00
cifar10,Bulyan,gaussian,0.3,0.1,7,57.02,60.38
cifar10,Bulyan,gaussian,0.2,0.5,7,58.97,61.31
cifar10,Bulyan,alie,0.1,0.1,42,53.04,63.81
cifar10,Bulyan,gaussian,0.3,0.5,42,48.39,55.08
cifar10,Bulyan,alie,0.1,0.1,7,61.41,62.32
cifar10,Bulyan,gaussian,0.3,0.5,7,52.31,57.73
cifar10,Bulyan,alie,0.2,0.1,42,51.65,64.76
cifar10,Bulyan,alie,0.1,0.5,42,62.60,67.42
cifar10,Bulyan,alie,0.2,0.1,7,60.74,63.06
cifar10,Bulyan,alie,0.1,0.5,7,64.22,67.41
cifar10,Bulyan,alie,0.3,0.1,42,53.48,64.74
cifar10,Bulyan,alie,0.2,0.5,42,55.68,62.66
cifar10,Bulyan,alie,0.3,0.1,7,61.23,62.34
cifar10,Bulyan,alie,0.2,0.5,7,59.70,63.69
cifar10,Bulyan,ipm,0.1,0.1,42,52.70,63.23
cifar10,Bulyan,alie,0.3,0.5,42,50.81,55.23
cifar10,Bulyan,ipm,0.1,0.1,7,60.94,62.86
cifar10,Bulyan,alie,0.3,0.5,7,56.70,56.58
cifar10,Bulyan,ipm,0.2,0.1,42,52.99,64.48
cifar10,Bulyan,ipm,0.1,0.5,42,62.44,67.45
cifar10,Bulyan,ipm,0.2,0.1,7,61.34,63.14
cifar10,Bulyan,ipm,0.1,0.5,7,64.20,67.28
