method,attack,corruption,participation,seed,final_accuracy
Median,ipm,0.1,0.5,42,57.23
Median,ipm,0.2,0.5,42,39.17
Median,ipm,0.1,0.5,7,57.60
Median,ipm,0.3,0.1,42,10.00
Median,ipm,0.2,0.5,7,46.84
Median,ipm,0.3,0.5,42,10.00
Median,ipm,0.3,0.1,7,10.00
Krum,none,0.0,0.1,42,47.58
Krum,none,0.0,0.1,7,38.62
Median,ipm,0.3,0.5,7,9.45
Krum,label_flip,0.1,0.1,42,50.49
Krum,label_flip,0.1,0.1,7,41.60
Krum,none,0.0,0.5,42,33.39
Krum,none,0.0,0.5,7,34.83
Krum,label_flip,0.1,0.5,42,33.87
Krum,label_flip,0.2,0.1,42,47.26
Krum,label_flip,0.2,0.1,7,40.16
Krum,label_flip,0.1,0.5,7,37.46
Krum,label_flip,0.2,0.5,42,35.26
Krum,label_flip,0.3,0.1,42,42.77
Krum,label_flip,0.3,0.1,7,40.52
Krum,label_flip,0.2,0.5,7,36.49
Krum,sign_flip,0.1,0.1,42,48.42
Krum,sign_flip,0.1,0.1,7,40.08
Krum,label_flip,0.3,0.5,42,34.83
Krum,label_flip,0.3,0.5,7,35.24
Krum,sign_flip,0.2,0.1,42,44.61
Krum,sign_flip,0.1,0.5,42,34.82
Krum,sign_flip,0.2,0.1,7,39.48
Krum,sign_flip,0.1,0.5,7,37.22
Krum,sign_flip,0.3,0.1,42,10.00
Krum,sign_flip,0.2,0.5,42,34.19
Krum,sign_flip,0.3,0.1,7,39.61
Krum,sign_flip,0.2,0.5,7,37.39
Krum,gaussian,0.1,0.1,42,49.57
Krum,gaussian,0.1,0.1,7,41.21
Krum,sign_flip,0.3,0.5,42,33.23
Krum,gaussian,0.2,0.1,42,45.85
Krum,sign_flip,0.3,0.5,7,35.68
Krum,gaussian,0.1,0.5,42,33.03
Krum,gaussian,0.2,0.1,7,40.76
Krum,gaussian,0.1,0.5,7,38.01
Krum,gaussian,0.3,0.1,42,46.44
Krum,gaussian,0.2,0.5,42,33.91
Krum,gaussian,0.3,0.1,7,39.08
Krum,gaussian,0.2,0.5,7,37.74
Krum,alie,0.1,0.1,42,45.64
Krum,alie,0.1,0.1,7,48.66
Krum,gaussian,0.3,0.5,42,35.48
Krum,alie,0.2,0.1,42,46.74
Krum,gaussian,0.3,0.5,7,35.70
Krum,alie,0.1,0.5,42,62.53
Krum,alie,0.2,0.1,7,49.17
Krum,alie,0.1,0.5,7,63.14
Krum,alie,0.2,0.5,42,55.35
Krum,alie,0.3,0.1,42,47.72
Krum,alie,0.3,0.1,7,50.28
Krum,alie,0.2,0.5,7,47.11
Krum,ipm,0.1,0.1,42,45.39
Krum,alie,0.3,0.5,42,9.98
Krum,ipm,0.1,0.1,7,48.56
Krum,alie,0.3,0.5,7,27.57
Krum,ipm,0.2,0.1,42,45.75
Krum,ipm,0.2,0.1,7,48.04
Krum,ipm,0.1,0.5,42,35.81
Krum,ipm,0.1,0.5,7,39.59
Krum,ipm,0.2,0.5,42,10.00
Krum,ipm,0.3,0.1,42,45.15
Krum,ipm,0.2,0.5,7,18.89
Krum,ipm,0.3,0.1,7,49.28
Krum,ipm,0.3,0.5,42,10.00
Bulyan,none,0.0,0.1,42,50.46
Krum,ipm,0.3,0.5,7,10.00
Bulyan,none,0.0,0.1,7,57.51
Bulyan,label_flip,0.1,0.1,42,49.19
Bulyan,label_flip,0.1,0.1,7,55.64
Bulyan,none,0.0,0.5,42,65.42
Bulyan,none,0.0,0.5,7,65.37
Bulyan,label_flip,0.1,0.5,42,62.44
Bulyan,label_flip,0.2,0.1,42,49.94
Bulyan,label_flip,0.2,0.1,7,55.24
Bulyan,label_flip,0.1,0.5,7,63.18
Bulyan,label_flip,0.2,0.5,42,56.00
Bulyan,label_flip,0.3,0.1,42,22.34
Bulyan,label_flip,0.3,0.1,7,25.83
Bulyan,label_flip,0.2,0.5,7,59.65
Bulyan,sign_flip,0.1,0.1,42,48.84
Bulyan,sign_flip,0.1,0.1,7,56.12
Bulyan,label_flip,0.3,0.5,42,44.71
Bulyan,label_flip,0.3,0.5,7,51.91
Bulyan,sign_flip,0.2,0.1,42,10.00
Bulyan,sign_flip,0.2,0.1,7,48.19
Bulyan,sign_flip,0.1,0.5,42,62.03
Bulyan,sign_flip,0.1,0.5,7,60.81
Bulyan,sign_flip,0.3,0.1,42,10.00
Bulyan,sign_flip,0.2,0.5,42,51.09
Bulyan,sign_flip,0.3,0.1,7,29.89
Bulyan,sign_flip,0.2,0.5,7,54.74
Bulyan,gaussian,0.1,0.1,42,49.70
Bulyan,gaussian,0.1,0.1,7,55.89
Bulyan,sign_flip,0.3,0.5,42,34.86
Bulyan,sign_flip,0.3,0.5,7,42.21
Bulyan,gaussian,0.2,0.1,42,48.35
Bulyan,gaussian,0.1,0.5,42,62.84
Bulyan,gaussian,0.2,0.1,7,55.27
Bulyan,gaussian,0.1,0.5,7,63.15
Bulyan,gaussian,0.3,0.1,42,53.88
Bulyan,gaussian,0.2,0.5,42,55.74
Bulyan,gaussian,0.3,0.1,7,51.03
Bulyan,gaussian,0.2,0.5,7,58.35
Bulyan,alie,0.1,0.1,42,55.46
Bulyan,alie,0.1,0.1,7,58.52
Bulyan,gaussian,0.3,0.5,42,49.42
Bulyan,alie,0.2,0.1,42,54.86
Bulyan,gaussian,0.3,0.5,7,52.59
Bulyan,alie,0.1,0.5,42,61.73
Bulyan,alie,0.2,0.1,7,57.42
Bulyan,alie,0.1,0.5,7,63.46
Bulyan,alie,0.2,0.5,42,57.26
Bulyan,alie,0.3,0.1,7,50.42
Bulyan,alie,0.3,0.1,42,50.33
Bulyan,alie,0.2,0.5,7,51.75
Bulyan,ipm,0.1,0.1,42,50.56
Bulyan,ipm,0.1,0.1,7,55.54
Bulyan,alie,0.3,0.5,42,10.61
Bulyan,alie,0.3,0.5,7,22.75
Bulyan,ipm,0.2,0.1,42,50.82
Bulyan,ipm,0.2,0.1,7,53.04
Bulyan,ipm,0.1,0.5,42,62.40
Bulyan,ipm,0.3,0.1,42,49.84
Bulyan,ipm,0.1,0.5,7,62.16
Bulyan,ipm,0.2,0.5,42,41.90
Bulyan,ipm,0.2,0.5,7,37.25
Bulyan,ipm,0.3,0.5,42,10.00
Bulyan,ipm,0.3,0.1,7,47.93
FLTrust,none,0.0,0.1,42,54.43
FLTrust,none,0.0,0.1,7,54.29
Bulyan,ipm,0.3,0.5,7,10.00
FLTrust,label_flip,0.1,0.1,42,54.07
FLTrust,label_flip,0.1,0.1,7,54.13
FLTrust,none,0.0,0.5,42,57.93
FLTrust,none,0.0,0.5,7,59.16
FLTrust,label_flip,0.1,0.5,42,56.13
FLTrust,label_flip,0.2,0.1,42,52.28
FLTrust,label_flip,0.2,0.1,7,54.13
FLTrust,label_flip,0.1,0.5,7,57.76
FLTrust,label_flip,0.2,0.5,42,55.59
FLTrust,label_flip,0.3,0.1,42,48.97
FLTrust,label_flip,0.3,0.1,7,47.34
FLTrust,label_flip,0.2,0.5,7,57.25
FLTrust,sign_flip,0.1,0.1,42,54.74
FLTrust,sign_flip,0.1,0.1,7,54.58
FLTrust,label_flip,0.3,0.5,42,54.51
FLTrust,label_flip,0.3,0.5,7,56.09
FLTrust,sign_flip,0.2,0.1,42,50.76
FLTrust,sign_flip,0.2,0.1,7,54.73
FLTrust,sign_flip,0.1,0.5,42,56.34
FLTrust,sign_flip,0.1,0.5,7,57.51
FLTrust,sign_flip,0.3,0.1,42,41.83
FLTrust,sign_flip,0.2,0.5,42,55.18
FLTrust,sign_flip,0.3,0.1,7,44.86
FLTrust,sign_flip,0.2,0.5,7,57.03
FLTrust,gaussian,0.1,0.1,42,54.81
FLTrust,gaussian,0.1,0.1,7,54.39
FLTrust,sign_flip,0.3,0.5,42,52.90
