method,rounds,total_wall_sec,mean_train_sec_round,mean_agg_sec_round,agg_pool_size,final_acc
DelayedMomentum,40,264.8,2.76,3.32,500,20.61
SWB-DM,40,673.8,2.73,13.58,500,17.16
